

"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 13:56:22 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:58:55,30.034,6.485,63.481,0,0,0,40960,794132480,12412411904,599986176,2381242368,0,0,
17-11 13:58:56,1.003,0.502,98.495,0,0,0,0,794128384,12412411904,599986176,2381246464,0,0,
17-11 13:58:57,3.685,1.005,95.142,0.168,0,0,229376,794906624,12411629568,599986176,2381250560,0,0,
17-11 13:58:58,18.562,4.348,77.090,0,0,0,40960,791527424,12414992384,599994368,2381258752,0,0,
17-11 13:58:59,1.174,0.503,98.322,0,0,0,0,791527424,12414992384,599994368,2381258752,0,0,
17-11 13:59:00,5.396,2.192,92.243,0.169,0,0,106496,791527424,12414992384,599994368,2381258752,0,0,
17-11 13:59:01,1.338,0.502,98.161,0,0,0,0,791519232,12414992384,599994368,2381266944,0,0,
17-11 13:59:02,11.224,3.061,85.714,0,0,0,196608,793321472,12413186048,599994368,2381266944,0,0,
17-11 13:59:03,0.675,0.843,98.145,0.337,0,0,188416,793321472,12413186048,599998464,2381262848,0,0,
17-11 13:59:04,1.667,1.167,97.167,0,0,0,0,793313280,12413186048,599998464,2381271040,0,0,
17-11 13:59:05,11.242,1.846,86.913,0,0,0,0,793313280,12413186048,599998464,2381271040,0,0,
17-11 13:59:06,0.840,0.672,98.487,0,0,0,0,793309184,12413186048,599998464,2381275136,0,0,
17-11 13:59:07,7,2,91,0,0,0,0,794603520,12411887616,599998464,2381279232,0,0,
17-11 13:59:08,2.174,0.502,96.990,0.334,0,0,352256,791236608,12415250432,600002560,2381279232,0,0,
17-11 13:59:09,7.939,2.027,90.034,0,0,0,49152,791228416,12415250432,600002560,2381287424,0,0,
17-11 13:59:10,1.510,0.503,97.987,0,0,0,0,791486464,12414992384,600002560,2381287424,0,0,
17-11 13:59:11,11.715,2.377,85.908,0,0,0,0,791486464,12414992384,600002560,2381287424,0,0,
17-11 13:59:12,22.128,5.574,72.297,0,0,0,0,794066944,12412411904,600002560,2381287424,0,0,
17-11 13:59:13,1.498,0.998,97.338,0.166,0,0,188416,794058752,12412411904,600002560,2381295616,0,0,
17-11 13:59:14,6.919,2.306,90.610,0.165,0,0,40960,794050560,12412411904,600006656,2381299712,0,0,
17-11 13:59:15,1.855,0.506,97.639,0,0,0,0,794050560,12412411904,600006656,2381299712,0,0,
17-11 13:59:16,8,2.333,89.667,0,0,0,0,794046464,12412411904,600006656,2381303808,0,0,
17-11 13:59:17,22.069,3.621,74.310,0,0,0,0,794312704,12412145664,600006656,2381303808,0,0,
17-11 13:59:18,3.333,1.167,95.500,0,0,0,24576,793272320,12413186048,600006656,2381303808,0,0,
17-11 13:59:19,9.014,2.211,88.605,0.170,0,0,73728,793264128,12413186048,600006656,2381312000,0,0,
17-11 13:59:20,30.835,6.985,61.670,0.511,0,0,25174016,792178688,12414201856,600039424,2381283328,0,0,
17-11 13:59:21,3.204,1.180,95.616,0,0,0,0,792166400,12414201856,600039424,2381295616,0,0,
17-11 13:59:22,2.676,0.836,96.488,0,0,0,0,793972736,12412395520,600039424,2381295616,0,0,
17-11 13:59:23,12.985,2.867,84.148,0,0,0,65536,793972736,12412395520,600039424,2381295616,0,0,
17-11 13:59:24,1.498,1.331,97.005,0.166,0,0,49152,794476544,12411879424,600039424,2381295616,0,0,
17-11 13:59:25,11.352,3.005,85.476,0.167,0,0,131072,794472448,12411879424,600043520,2381295616,0,0,
17-11 13:59:26,0.678,0.169,99.153,0,0,0,0,794468352,12411879424,600043520,2381299712,0,0,
17-11 13:59:27,12.438,2.985,84.577,0,0,0,0,794992640,12411355136,600043520,2381299712,0,0,
17-11 13:59:28,2.530,1.180,96.290,0,0,0,0,793436160,12412911616,600043520,2381299712,0,0,
17-11 13:59:29,2.192,1.012,96.796,0,0,0,0,793436160,12412911616,600043520,2381299712,0,0,
17-11 13:59:30,36.271,7.966,55.593,0.169,0,0,57344,793427968,12412911616,600051712,2381299712,0,0,
17-11 13:59:31,24.662,5.743,69.595,0,0,0,0,793423872,12412911616,600051712,2381303808,0,0,
17-11 13:59:32,2.189,0.842,96.970,0,0,0,0,794456064,12411879424,600051712,2381303808,0,0,
17-11 13:59:33,3.512,0.836,95.485,0.167,0,0,65536,794456064,12411879424,600051712,2381303808,0,0,
17-11 13:59:34,1.513,0.672,97.815,0,0,0,0,794456064,12411879424,600051712,2381303808,0,0,
17-11 13:59:35,9.459,3.041,87.500,0,0,0,0,794456064,12411879424,600051712,2381303808,0,0,
17-11 13:59:36,7.445,2.538,89.848,0.169,0,0,65536,794451968,12411879424,600051712,2381307904,0,0,
17-11 13:59:37,2.010,1.005,96.985,0,0,0,0,794451968,12411879424,600051712,2381307904,0,0,
17-11 13:59:38,11.296,3.156,85.548,0,0,0,0,793677824,12412653568,600051712,2381307904,0,0,
17-11 13:59:39,1.827,0.997,97.176,0,0,0,0,793935872,12412395520,600051712,2381307904,0,0,
17-11 13:59:40,5.528,1.173,93.300,0,0,0,221184,793935872,12412395520,600051712,2381307904,0,0,
17-11 13:59:41,2.917,3.079,94.003,0,0,0,0,793935872,12412395520,600051712,2381307904,0,0,
17-11 13:59:42,17.529,5.175,77.129,0.167,0,0,73728,792899584,12413427712,600055808,2381307904,0,0,
17-11 13:59:43,7.886,2.181,89.765,0.168,0,0,65536,792899584,12413427712,600055808,2381307904,0,0,
17-11 13:59:44,1.503,1.002,97.496,0,0,0,0,792895488,12413427712,600055808,2381312000,0,0,
17-11 13:59:45,26.246,5.316,68.272,0.166,0,0,270336,792887296,12413427712,600064000,2381312000,0,0,
17-11 13:59:46,1.990,0.995,97.015,0,0,0,0,792883200,12413427712,600064000,2381316096,0,0,
17-11 13:59:47,4.882,1.178,93.939,0,0,0,0,795213824,12411097088,600064000,2381316096,0,0,
17-11 13:59:48,3.987,0.997,94.850,0.166,0,0,131072,793653248,12412653568,600068096,2381316096,0,0,
17-11 13:59:49,4.561,1.182,94.257,0,0,0,0,793653248,12412653568,600068096,2381316096,0,0,
17-11 13:59:50,16.526,4.216,79.258,0,0,0,16384,793649152,12412653568,600068096,2381320192,0,0,
17-11 13:59:51,1.010,0.842,98.148,0,0,0,24576,793649152,12412653568,600068096,2381320192,0,0,
17-11 13:59:52,11.074,2.517,86.409,0,0,0,0,794681344,12411621376,600068096,2381320192,0,0,
17-11 13:59:53,1.171,0.502,97.993,0.334,0,0,155648,794681344,12411621376,600068096,2381320192,0,0,
17-11 13:59:54,3.311,1.490,95.199,0,0,0,0,794681344,12411621376,600068096,2381320192,0,0,
17-11 13:59:55,0.839,0.168,98.993,0,0,0,16384,794681344,12411621376,600068096,2381320192,0,0,
17-11 13:59:56,6.926,2.027,91.047,0,0,0,0,794677248,12411621376,600068096,2381324288,0,0,
17-11 13:59:57,11.130,2.867,85.666,0.337,0,0,25370624,794882048,12411322368,600113152,2381295616,0,0,
17-11 13:59:58,1.182,0.845,97.973,0,0,0,0,792559616,12413644800,600113152,2381295616,0,0,
17-11 13:59:59,20.926,4.803,73.756,0.515,0,0,25305088,791990272,12414160896,600150016,2381221888,0,0,
17-11 14:00:00,1.173,0.838,97.990,0,0,0,0,791990272,12414160896,600150016,2381221888,0,0,
17-11 14:00:01,3.367,0.842,95.791,0,0,0,0,792248320,12413902848,600150016,2381221888,0,0,
17-11 14:00:02,10.870,2.843,86.288,0,0,0,0,793796608,12412354560,600150016,2381221888,0,0,
17-11 14:00:03,1.505,0.669,97.659,0.167,0,0,65536,793796608,12412354560,600150016,2381221888,0,0,
17-11 14:00:04,14.382,4.230,80.880,0.508,0,0,13139968,793751552,12412354560,600174592,2381205504,0,0,
17-11 14:00:05,1.510,0.503,97.987,0,0,0,16384,793751552,12412354560,600174592,2381205504,0,0,
17-11 14:00:06,6.218,1.513,92.269,0,0,0,0,793751552,12412354560,600174592,2381205504,0,0,
17-11 14:00:07,1.692,0.677,97.631,0,0,0,0,794017792,12412088320,600174592,2381205504,0,0,
17-11 14:00:08,8.638,2.159,89.203,0,0,0,0,792719360,12413386752,600174592,2381205504,0,0,
17-11 14:00:09,28.548,7.096,64.356,0,0,0,0,792719360,12413386752,600174592,2381205504,0,0,
17-11 14:00:10,1.508,0.670,97.655,0.168,0,0,196608,792711168,12413386752,600182784,2381205504,0,0,
17-11 14:00:11,10.720,3.015,85.762,0.503,0,0,21020672,792608768,12413440000,600207360,2381156352,0,0,
17-11 14:00:12,22.658,5.281,71.210,0.852,0,0,38338560,795181056,12410757120,600264704,2381086720,0,0,
17-11 14:00:13,1.830,0.832,97.171,0.166,0,0,65536,795181056,12410757120,600264704,2381086720,0,0,
17-11 14:00:14,9.801,3.322,86.877,0,0,0,0,795168768,12410757120,600264704,2381099008,0,0,
17-11 14:00:15,2.357,0.673,96.970,0,0,0,0,795168768,12410757120,600264704,2381099008,0,0,
17-11 14:00:16,1.176,0.504,98.151,0.168,0,0,147456,795164672,12410757120,600268800,2381099008,0,0,
17-11 14:00:17,3.840,1.669,94.324,0.167,0,0,106496,795422720,12410490880,600276992,2381099008,0,0,
17-11 14:00:18,3.339,1.169,95.492,0,0,0,0,793640960,12412272640,600276992,2381099008,0,0,
17-11 14:00:19,17.340,4.209,77.946,0.505,0,0,25468928,793341952,12412497920,600334336,2381041664,0,0,
17-11 14:00:20,2.178,0.503,97.320,0,0,0,0,793333760,12412497920,600334336,2381049856,0,0,
