timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:08:32.080, 89 %, 70 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:33.081, 56 %, 45 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:34.083, 67 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:35.084, 76 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:36.085, 53 %, 41 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:37.088, 71 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:38.089, 89 %, 67 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:39.091, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:40.092, 69 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:41.094, 69 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:42.096, 81 %, 61 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:43.097, 91 %, 71 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:44.099, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:45.101, 78 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:46.102, 92 %, 68 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:47.103, 71 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:48.104, 67 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:49.106, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:50.107, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:51.109, 51 %, 39 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:08:52.110, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
